latitude, longitude,alt
45.630933333,-122.251205,1604.926070812
45.630933333,-122.251206667,1606.897407362
45.630933333,-122.251206667,1609.862336369
45.630935,-122.251206667,1611.733987374
45.630936667,-122.251208333,1613.907310332
45.63094,-122.251208333,1615.900900718
45.63094,-122.251208333,1618.723472483
45.630941667,-122.251208333,1620.73156033
45.630945,-122.25121,1622.898070712
45.630948333,-122.25121,1625.10170463
45.630948333,-122.25121,1627.724657621
45.630948333,-122.25121,1629.933109201
45.63095,-122.251211667,1631.898880241
45.630951667,-122.251211667,1634.85595176
45.630951667,-122.251211667,1636.721985004
45.630951667,-122.251213333,1638.904802604
45.63095,-122.251215,1640.897584782
45.630948333,-122.251216667,1643.722395682
45.630945,-122.251216667,1645.726301361
45.63094,-122.251218333,1647.89367137
45.630938333,-122.251221667,1650.09387904
45.630936667,-122.251221667,1652.720240781
45.630935,-122.251223333,1654.931547994
45.630935,-122.251223333,1656.892262761
45.630936667,-122.251221667,1659.852591849
45.630936667,-122.25122,1661.719039251
45.630938333,-122.251218333,1663.899092483
45.630935,-122.251218333,1665.876861946
45.630933333,-122.251221667,1668.716733535
45.630931667,-122.251223333,1670.725631405
45.63093,-122.251223333,1672.8998897
45.630928333,-122.251223333,1675.101908294
45.630925,-122.251223333,1677.723707
45.630926667,-122.251223333,1679.925316083
45.630926667,-122.251225,1681.891037187
45.630926667,-122.251223333,1684.847831433
45.630928333,-122.251225,1686.714255191
45.63093,-122.251225,1688.897063219
